time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-16T11:34:10.190Z,27.5457,86.0754,10,5.7,mb,,25,5.539,1,us,us100029rn,2015-05-17T10:14:01.370Z,"24km N of Ramechhap, Nepal",earthquake
2015-05-16T11:02:46.250Z,19.3798333,-155.283,2.34,2.67,ml,31,46,0.006773,0.08,hv,hv60937266,2015-05-16T19:05:15.525Z,"7km SW of Volcano, Hawaii",earthquake
2015-05-16T10:35:53.700Z,19.1408,-66.6045,37,2.8,Md,11,291.6,0.66385499,0.17,pr,pr15136012,2015-05-16T18:38:36.633Z,"74km N of Arecibo, Puerto Rico",earthquake
2015-05-16T10:32:09.000Z,19.1165,-66.6419,29,3.1,Md,10,277.2,0.64499037,0.25,pr,pr15136009,2015-05-16T18:34:47.599Z,"71km N of Arecibo, Puerto Rico",earthquake
2015-05-16T10:03:26.580Z,19.0403328,-155.4131622,42.02,2.53,md,47,209,0.1235,0.17,hv,hv60937171,2015-05-16T18:06:10.493Z,"19km SSE of Pahala, Hawaii",earthquake
2015-05-16T10:00:40.740Z,19.3859997,-155.2753296,2.62,2.69,ml,45,44,0.006051,0.29,hv,hv60937166,2015-05-16T18:03:17.475Z,"6km SW of Volcano, Hawaii",earthquake
2015-05-16T09:00:55.830Z,5.4466,-72.9,10,4.5,mb,,74,0.508,1,us,us100029qy,2015-05-16T13:01:30.977Z,"8km S of Aquitania, Colombia",earthquake
2015-05-16T08:51:54.560Z,-33.0577,-71.9294,23.39,4.4,mwr,,178,0.247,0.85,us,us100029qx,2015-05-17T03:58:50.071Z,"28km W of Valparaiso, Chile",earthquake
2015-05-16T07:12:02.000Z,19.54,-64.3451,37,3.3,Md,12,288,0.80489049,0.23,pr,pr15136011,2015-05-16T15:14:31.405Z,"127km NNE of Road Town, British Virgin Islands",earthquake
2015-05-16T06:18:56.000Z,50.3873,-173.2119,49.2,2.5,ml,,,,0.89,ak,ak11597779,2015-05-16T23:13:54.827Z,"212km SSE of Atka, Alaska",earthquake
2015-05-16T06:00:00.500Z,19.1499,-66.5927,27,2.9,Md,11,284.4,0.67193983,0.18,pr,pr15136007,2015-05-16T14:02:25.827Z,"76km N of Arecibo, Puerto Rico",earthquake
2015-05-16T04:57:29.600Z,19.1544,-66.573,37,3.2,Md,13,280.8,0.67373646,0.27,pr,pr15136004,2015-05-16T13:00:16.195Z,"76km N of Arecibo, Puerto Rico",earthquake
2015-05-16T04:47:59.200Z,18.0855,-64.9795,7,2.9,Md,14,115.2,0.26590132,0.41,pr,pr15136005,2015-05-16T12:50:38.964Z,"28km S of Charlotte Amalie, U.S. Virgin Islands",earthquake
